gm_id,player1,player2,player3,player4,league,extra_points,extra_points_note,player1_adj,player1_note
Jerkin my Shesterkin,name:player 43,name:LePuckuer,name:Poro,name:SupaWoov,The OGs,,,,
Liverpool Crackheads,name:stinkyshawn,name:richardp,name:Anvil,name:Glenlivet,The OGs,,,,
Supa's Clown Squad,name:Marcus,name:SoCanadian,name:BarDownBart,name:walker,The OGs,509.5,Points from ChiafNeef in week 1 added to total (509.5 FP). ChiafNeef swapped to Marcus starting in week 2,0,Only points from week 2 onwards included
Pyro's Poops,name:nickisntcool,name:VanHiggy,name:SiddedOn,name:Gumpy,The OGs,,,,
Rock Collection,name:hayden,name:Pyros,name:milk,name:Vanxity,The OGs,,,,
Mush-a-lago Mosquitoes,name:Radioheadlover,name:Nakesy,name:Fly,name:ghost,The OGs,,,,
Sundin's Seniors,name:Midnight,name:JohnPuck,name:BOESER,name:Zen,The OGs,,,,
Mikuuuuweeoo,name:JB,name:moose,name:Jarry,name:Miku,The OGs,,,,
Silly Seals,name:ChiafNeef,name:Foster,name:OVO,name:silly,The OGs,117,Points from jurkey in week 1 added to total (117 FP). jurkey swapped to ChiafNeef starting in week 2,-509.5,Only points from week 2 onwards included
Puck Me Tenderly,name:pretty,name:v,name:dabz,name:Quick,The OGs,,,,
Big Daddy Nem's Baddies,name:player 43,name:ghost,name:richardp,name:Nem,The Other Guys,,,,
Bouchard for Norris,name:Marcus,name:Poro,name:Zen,name:foxbrow,The Other Guys,509.5,Points from ChiafNeef in week 1 added to total (509.5 FP). ChiafNeef swapped to Marcus starting in week 2,0,Only points from week 2 onwards included
Foster's Imaginary Friends,name:hayden,name:pretty,name:JohnPuck,name:Bingus,The Other Guys,,,,
Goofy Goobers,name:moose,name:SoCanadian,name:Glenlivet,name:ALEJO,The Other Guys,,,,
Bosnian Barts,name:stinkyshawn,name:Nakesy,name:Fly,name:Light,The Other Guys,,,,
Marqueef,name:nickisntcool,name:v,name:silly,name:Quick,The Other Guys,,,,
Mister Margers,name:JB,name:BarDownBart,name:Gumpy,name:SiddedOn,The Other Guys,,,,
I Miss Hookers,name:Midnight,name:milk,name:BOESER,name:Bloomer,The Other Guys,,,,
Green 69s,name:ChiafNeef,name:Foster,name:dabz,name:SupaWoov,The Other Guys,117,Points from jurkey in week 1 added to total (117 FP). jurkey swapped to ChiafNeef starting in week 2,-509.5,Only points from week 2 onwards included
Chilliam's Fent Cache,name:Pyros,name:Jarry,name:Anvil,name:ronin,The Other Guys,,,,
Moo Moo Meadows,name:VanHiggy,name:Radioheadlover,name:LePuckuer,name:puff,The Other Guys,,,,
