match_id,week,home_team_id,away_team_id,stage,status,imported_on
M1-G1,1,CG67,RR,reg,final,2026-02-10
M1-G2,1,CG67,RR,reg,final,2026-02-10
M1-G3,1,CG67,RR,reg,final,2026-02-10
M2-G1,1,BRG,FOX,reg,final,2026-02-11
M2-G2,1,BRG,FOX,reg,final,2026-02-11
M2-G3,1,BRG,FOX,reg,final,2026-02-11
M3-G1,1,BB,PP,reg,final,2026-02-11
M3-G2,1,BB,PP,reg,final,2026-02-11
M3-G3,1,BB,PP,reg,final,2026-02-11
M4-G1,1,MOFO,LBR,reg,final,2026-02-15
M4-G2,1,MOFO,LBR,reg,final,2026-02-15
M4-G3,1,MOFO,LBR,reg,final,2026-02-15
M5-G1,2,BB,BRG,reg,final,2026-02-18
M5-G2,2,BB,BRG,reg,final,2026-02-18
M5-G3,2,BB,BRG,reg,final,2026-02-18
M6-G1,2,MOFO,PP,reg,final,2026-02-19
M6-G2,2,MOFO,PP,reg,final,2026-02-19
M6-G3,2,MOFO,PP,reg,final,2026-02-19
M7-G1,2,RR,TOR,reg,final,2026-02-22
M7-G2,2,RR,TOR,reg,final,2026-02-22
M7-G3,2,RR,TOR,reg,final,2026-02-22
M8-G1,2,FOX,LBR,reg,final,2026-02-22
M8-G2,2,FOX,LBR,reg,final,2026-02-22
M8-G3,2,FOX,LBR,reg,final,2026-02-22
M9-G1,3,FOX,MOFO,reg,final,2026-02-28
M9-G2,3,FOX,MOFO,reg,final,2026-02-28
M9-G3,3,FOX,MOFO,reg,final,2026-02-28
M10-G1,3,LBR,BRG,reg,final,2026-03-01
M10-G2,3,LBR,BRG,reg,final,2026-03-01
M10-G3,3,LBR,BRG,reg,final,2026-03-01
M11-G1,3,BB,CG67,reg,final,2026-03-01
M11-G2,3,BB,CG67,reg,final,2026-03-01
M11-G3,3,BB,CG67,reg,final,2026-03-01
M12-G1,3,TOR,PP,reg,final,2026-03-01
M12-G2,3,TOR,PP,reg,final,2026-03-01
M12-G3,3,TOR,PP,reg,final,2026-03-01
M13-G1,4,PP,RR,reg,final,2026-03-05
M13-G2,4,PP,RR,reg,final,2026-03-05
M13-G3,4,PP,RR,reg,final,2026-03-05
M14-G1,4,TOR,MOFO,reg,final,2026-03-08
M14-G2,4,TOR,MOFO,reg,final,2026-03-08
M14-G3,4,TOR,MOFO,reg,final,2026-03-08
M15-G1,4,BB,FOX,reg,final,2026-03-08
M15-G2,4,BB,FOX,reg,final,2026-03-08
M15-G3,4,BB,FOX,reg,final,2026-03-08
M16-G1,4,LBR,CG67,reg,final,2026-03-08
M16-G2,4,LBR,CG67,reg,final,2026-03-08
M16-G3,4,LBR,CG67,reg,final,2026-03-08
M17-G1,5,BRG,CG67,reg,final,2026-03-10
M17-G2,5,BRG,CG67,reg,final,2026-03-10
M17-G3,5,BRG,CG67,reg,final,2026-03-10
M18-G1,5,FOX,TOR,reg,final,2026-03-11
M18-G2,5,FOX,TOR,reg,final,2026-03-11
M18-G3,5,FOX,TOR,reg,final,2026-03-11
M19-G1,5,RR,MOFO,reg,final,2026-03-13
M19-G2,5,RR,MOFO,reg,final,2026-03-13
M19-G3,5,RR,MOFO,reg,final,2026-03-13
M20-G1,5,LBR,BB,reg,final,2026-03-15
M20-G2,5,LBR,BB,reg,final,2026-03-15
M20-G3,5,LBR,BB,reg,final,2026-03-15
M21-G1,6,BRG,PP,reg,final,2026-03-19
M21-G2,6,BRG,PP,reg,final,2026-03-19
M21-G3,6,BRG,PP,reg,final,2026-03-19
M22-G1,6,TOR,LBR,reg,final,2026-03-22
M22-G2,6,TOR,LBR,reg,final,2026-03-22
M22-G3,6,TOR,LBR,reg,final,2026-03-22
M23-G1,6,FOX,CG67,reg,final,2026-03-23
M23-G2,6,FOX,CG67,reg,final,2026-03-23
M23-G3,6,FOX,CG67,reg,final,2026-03-23
M24-G1,6,RR,BB,reg,final,2026-03-27
M24-G2,6,RR,BB,reg,final,2026-03-27
M24-G3,6,RR,BB,reg,final,2026-03-27
M25-G1,7,PP,FOX,reg,final,2026-03-29
M25-G2,7,PP,FOX,reg,final,2026-03-29
M25-G3,7,PP,FOX,reg,final,2026-03-29
M26-G1,7,MOFO,BB,reg,final,2026-03-29
M26-G2,7,MOFO,BB,reg,final,2026-03-29
M26-G3,7,MOFO,BB,reg,final,2026-03-29
M27-G1,7,CG67,TOR,reg,final,2026-03-31
M27-G2,7,CG67,TOR,reg,final,2026-03-31
M27-G3,7,CG67,TOR,reg,final,2026-03-31
M28-G1,7,BRG,RR,reg,final,2026-04-10
M28-G2,7,BRG,RR,reg,final,2026-04-10
M28-G3,7,BRG,RR,reg,final,2026-04-10
M29-G1,8,BB,TOR,reg,final,2026-04-04
M29-G2,8,BB,TOR,reg,final,2026-04-04
M29-G3,8,BB,TOR,reg,final,2026-04-04
M30-G1,8,LBR,RR,reg,final,2026-04-05
M30-G2,8,LBR,RR,reg,final,2026-04-05
M30-G3,8,LBR,RR,reg,final,2026-04-05
M31-G1,8,CG67,PP,reg,final,2026-04-08
M31-G2,8,CG67,PP,reg,final,2026-04-08
M31-G3,8,CG67,PP,reg,final,2026-04-08
M32-G1,8,BRG,MOFO,reg,final,2026-04-11
M32-G2,8,BRG,MOFO,reg,final,2026-04-11
M32-G3,8,BRG,MOFO,reg,final,2026-04-11
M33-G1,9,FOX,RR,reg,final,2026-04-09
M33-G2,9,FOX,RR,reg,final,2026-04-09
M33-G3,9,FOX,RR,reg,final,2026-04-09
M34-G1,9,PP,LBR,reg,final,2026-04-10
M34-G2,9,PP,LBR,reg,final,2026-04-10
M34-G3,9,PP,LBR,reg,final,2026-04-10
M35-G1,9,BRG,TOR,reg,final,2026-04-12
M35-G2,9,BRG,TOR,reg,final,2026-04-12
M35-G3,9,BRG,TOR,reg,final,2026-04-12
M36-G1,9,MOFO,CG67,reg,final,2026-04-12
M36-G2,9,MOFO,CG67,reg,final,2026-04-12
M36-G3,9,MOFO,CG67,reg,final,2026-04-12
M38-G1,10,LBR,RR,qf,final,2026-04-17
M38-G2,10,LBR,RR,qf,final,2026-04-17
M38-G3,10,LBR,RR,qf,final,2026-04-17
M39-G1,10,MOFO,PP,qf,final,2026-04-19
M39-G2,10,MOFO,PP,qf,final,2026-04-19
M40-G1,11,FOX,MOFO,sf,final,2026-04-23
M40-G2,11,FOX,MOFO,sf,final,2026-04-23
M40-G3,11,FOX,MOFO,sf,final,2026-04-23
M40-G4,11,FOX,MOFO,sf,final,2026-04-23
M41-G1,11,TOR,LBR,sf,final,2026-04-26
M41-G2,11,TOR,LBR,sf,final,2026-04-26
M41-G3,11,TOR,LBR,sf,final,2026-04-26
M41-G4,11,TOR,LBR,sf,final,2026-04-26
M41-G5,11,TOR,LBR,sf,final,2026-04-26
M42-G1,12,TOR,FOX,f,final,2026-05-02
M42-G2,12,TOR,FOX,f,final,2026-05-02
M42-G3,12,TOR,FOX,f,final,2026-05-02
